rank,config_json,Image Recall@1,Image Recall@5,Image Recall@10,Image MRR
43,"{""bbox_weight"": 0.4, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.6, ""source_coefficient"": 0.0, ""weights"": [0.42, 0.18, 0.28, 0.09, 0.03]}",0.45714285714285713,0.7714285714285715,0.8285714285714286,0.5726360544217688
44,"{""bbox_weight"": 0.2, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.8, ""source_coefficient"": 0.0, ""weights"": [0.0, 1.0, 0.0, 0.0, 0.0]}",0.45714285714285713,0.7285714285714285,0.8,0.5725510204081633
45,"{""bbox_weight"": 1.0, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.0, ""source_coefficient"": 0.0, ""weights"": [0.0, 1.0, 0.0, 0.0, 0.0]}",0.45714285714285713,0.7285714285714285,0.8,0.5725510204081633
46,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.0, ""weights"": [0.157474, 0.412768, 0.303335, 0.07103, 0.055394]}",0.44285714285714284,0.7714285714285715,0.8142857142857143,0.5725170068027211
47,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.0, ""weights"": [0.362569, 0.49656, 0.047818, 0.02819, 0.064863]}",0.45714285714285713,0.7571428571428571,0.8142857142857143,0.5725170068027211
48,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.0, ""weights"": [0.362569, 0.49656, 0.047818, 0.02819, 0.064863]}",0.45714285714285713,0.7571428571428571,0.8142857142857143,0.5725170068027211
49,"{""bbox_weight"": 0.9, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.1, ""source_coefficient"": 0.0, ""weights"": [0.211461, 0.37966, 0.254116, 0.027368, 0.127395]}",0.45714285714285713,0.7428571428571429,0.8,0.5722619047619049
50,"{""bbox_weight"": 0.9, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.1, ""source_coefficient"": 0.01, ""weights"": [0.211461, 0.37966, 0.254116, 0.027368, 0.127395]}",0.45714285714285713,0.7428571428571429,0.8,0.5722619047619049
51,"{""bbox_weight"": 0.4, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.6, ""source_coefficient"": 0.0, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.44285714285714284,0.7714285714285715,0.8285714285714286,0.5721825396825396
52,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.02, ""weights"": [0.157474, 0.412768, 0.303335, 0.07103, 0.055394]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5721768707482994
53,"{""bbox_weight"": 0.9, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.1, ""source_coefficient"": 0.01, ""weights"": [0.362569, 0.49656, 0.047818, 0.02819, 0.064863]}",0.45714285714285713,0.7428571428571429,0.8,0.5720408163265306
54,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.0, ""weights"": [0.299709, 0.303656, 0.304335, 0.071107, 0.021193]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5719614512471655
55,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.01, ""weights"": [0.299709, 0.303656, 0.304335, 0.071107, 0.021193]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5719614512471655
56,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.02, ""weights"": [0.299709, 0.303656, 0.304335, 0.071107, 0.021193]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5719614512471655
57,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.02, ""weights"": [0.42859, 0.158614, 0.243567, 0.075825, 0.093404]}",0.45714285714285713,0.7285714285714285,0.8142857142857143,0.5718253968253969
58,"{""bbox_weight"": 0.4, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.6, ""source_coefficient"": 0.01, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.44285714285714284,0.7714285714285715,0.8285714285714286,0.5716836734693878
59,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.0, ""weights"": [0.182689, 0.475855, 0.175228, 0.063474, 0.102754]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5716666666666665
60,"{""bbox_weight"": 0.8, ""semantic_mode"": ""robust_cosine"", ""siglip_weight"": 0.2, ""source_coefficient"": 0.0, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.45714285714285713,0.7571428571428571,0.8285714285714286,0.5715079365079365
61,"{""bbox_weight"": 0.8, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.2, ""source_coefficient"": 0.0, ""weights"": [0.362569, 0.49656, 0.047818, 0.02819, 0.064863]}",0.45714285714285713,0.7428571428571429,0.8,0.5713265306122449
62,"{""bbox_weight"": 0.9, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.1, ""source_coefficient"": 0.01, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5712698412698414
63,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.0, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.44285714285714284,0.7571428571428571,0.8285714285714286,0.5711678004535148
